DateOfGame: 24-06-2023 13:24:35, Player score: 0, AI score: 0, Duration: 542milliseconds
DateOfGame: 24-06-2023 13:24:59, Player score: 4, AI score: 7, Duration: 20752milliseconds
DateOfGame: 24-06-2023 13:28:56, Player score: 1, AI score: 2, Duration: 10981milliseconds
DateOfGame: 24-06-2023 13:28:58, Player score: 0, AI score: 0, Duration: 115milliseconds
DateOfGame: 24-06-2023 13:29:01, Player score: 0, AI score: 0, Duration: 1953milliseconds
DateOfGame: 24-06-2023 13:29:04, Player score: 0, AI score: 1, Duration: 2065milliseconds
DateOfGame: 24-06-2023 13:29:24, Player score: 5, AI score: 6, Duration: 18812milliseconds
DateOfGame: 24-06-2023 13:38:02, Player score: 0, AI score: 0, Duration: 2401milliseconds
DateOfGame: 24-06-2023 13:39:27, Player score: 0, AI score: 0, Duration: 1744milliseconds
DateOfGame: 24-06-2023 13:40:06, Player score: 0, AI score: 1, Duration: 1530milliseconds
DateOfGame: 24-06-2023 13:57:23, Player score: 0, AI score: 1, Duration: 2066milliseconds
DateOfGame: 24-06-2023 13:59:23, Player score: 0, AI score: 1, Duration: 2180milliseconds
DateOfGame: 24-06-2023 13:59:31, Player score: 0, AI score: 2, Duration: 3056milliseconds
DateOfGame: 24-06-2023 13:59:52, Player score: 0, AI score: 0, Duration: 1742milliseconds
DateOfGame: 24-06-2023 14:00:40, Player score: 0, AI score: 0, Duration: 982milliseconds
DateOfGame: 24-06-2023 14:01:59, Player score: 1, AI score: 0, Duration: 2403milliseconds
DateOfGame: 24-06-2023 14:14:30, Player score: 0, AI score: 0, Duration: 1968milliseconds
DateOfGame: 24-06-2023 14:14:46, Player score: 0, AI score: 0, Duration: 1205milliseconds
DateOfGame: 24-06-2023 14:15:38, Player score: 0, AI score: 1, Duration: 2839milliseconds
DateOfGame: 24-06-2023 14:17:33, Player score: 0, AI score: 0, Duration: 1531milliseconds
DateOfGame: 24-06-2023 14:17:50, Player score: 0, AI score: 0, Duration: 1535milliseconds
DateOfGame: 24-06-2023 14:18:02, Player score: 0, AI score: 0, Duration: 116milliseconds
DateOfGame: 24-06-2023 14:18:36, Player score: 0, AI score: 0, Duration: 1094milliseconds
DateOfGame: 24-06-2023 14:19:08, Player score: 0, AI score: 0, Duration: 120milliseconds
DateOfGame: 24-06-2023 14:19:19, Player score: 0, AI score: 3, Duration: 4690milliseconds
DateOfGame: 24-06-2023 14:20:12, Player score: 0, AI score: 1, Duration: 2835milliseconds
DateOfGame: 24-06-2023 14:20:17, Player score: 0, AI score: 0, Duration: 223milliseconds
DateOfGame: 24-06-2023 14:20:19, Player score: 0, AI score: 0, Duration: 870milliseconds
DateOfGame: 24-06-2023 14:20:21, Player score: 0, AI score: 0, Duration: 1748milliseconds
DateOfGame: 24-06-2023 14:21:41, Player score: 0, AI score: 1, Duration: 2613milliseconds
DateOfGame: 24-06-2023 14:23:46, Player score: 0, AI score: 0, Duration: 1096milliseconds
DateOfGame: 24-06-2023 14:24:44, Player score: 0, AI score: 1, Duration: 1740milliseconds
DateOfGame: 24-06-2023 14:25:07, Player score: 0, AI score: 1, Duration: 884milliseconds
DateOfGame: 24-06-2023 14:25:25, Player score: 0, AI score: 0, Duration: 1645milliseconds
DateOfGame: 24-06-2023 14:25:51, Player score: 0, AI score: 0, Duration: 981milliseconds
DateOfGame: 24-06-2023 14:26:18, Player score: 0, AI score: 0, Duration: 1321milliseconds
DateOfGame: 24-06-2023 14:26:53, Player score: 0, AI score: 0, Duration: 766milliseconds
DateOfGame: 24-06-2023 14:27:27, Player score: 0, AI score: 1, Duration: 2081milliseconds
DateOfGame: 24-06-2023 14:27:54, Player score: 0, AI score: 0, Duration: 1761milliseconds
DateOfGame: 24-06-2023 14:28:10, Player score: 0, AI score: 0, Duration: 1534milliseconds
DateOfGame: 24-06-2023 14:28:32, Player score: 0, AI score: 0, Duration: 1321milliseconds
DateOfGame: 24-06-2023 14:28:55, Player score: 0, AI score: 1, Duration: 2735milliseconds
DateOfGame: 24-06-2023 14:31:55, Player score: 0, AI score: 0, Duration: 1648milliseconds
DateOfGame: 24-06-2023 14:37:39, Player score: 0, AI score: 0, Duration: 1645milliseconds
DateOfGame: 24-06-2023 14:39:12, Player score: 0, AI score: 1, Duration: 1853milliseconds
DateOfGame: 24-06-2023 14:41:57, Player score: 0, AI score: 0, Duration: 1098milliseconds
DateOfGame: 24-06-2023 14:43:49, Player score: 0, AI score: 1, Duration: 2847milliseconds
DateOfGame: 24-06-2023 14:44:22, Player score: 0, AI score: 1, Duration: 2737milliseconds
